0.03	0.57
0.02	0.56
0.03	0.59
0.03	0.64
0.03	0.69
0.03	0.69
0.02	0.79
0.04	0.86
0.02	0.72
0.02	0.72
0.03	0.76
0.03	0.71
0.02	0.75
0.03	0.69
0.02	0.71
0.02	0.72
0.03	0.71
0.03	0.71
0.02	0.75
0.04	0.69
0.03	0.75
0.04	0.75
0.03	0.73
0.02	0.7
0.02	0.73
0.03	0.75
0.02	0.71
0.03	0.74
0.04	0.72
0.03	0.68
0.02	0.69
0.04	0.7
0.06	0.75
0.02	0.72
0.03	0.7
0.03	0.72
0.02	0.73
0.02	0.75
0.02	0.72
0.02	0.75
0.03	0.74
0.01	0.79
0.02	0.77
0.04	0.71
0.02	0.73
0.02	0.74
0.02	0.77
0.03	0.75
0.04	0.7
0.02	0.72
0.03	0.74
0.04	0.75
0.02	0.78
0.02	0.78
0.03	0.73
0.02	0.75
0.03	0.72
0.03	0.76
0.03	0.73
0.02	0.74
0.02	0.73
0.03	0.7
0.03	0.69
0.03	0.76
0.02	0.75
0.03	0.72
0.03	0.76
0.01	0.73
0.03	0.71
0.02	0.74
0.04	0.7
0.02	0.77
0.02	0.77
0.03	0.7
0.03	0.78
0.03	0.74
0.04	0.72
0.03	0.75
0.02	0.75
0.03	0.75
0.02	0.74
0.03	0.74
0.03	0.76
0.03	0.71
0.04	0.75
0.04	0.75
0.09	1.02
0.02	0.75
0.03	0.76
0.02	0.76
0.03	0.81
0.03	0.7
0.03	0.78
0.02	0.75
0.04	0.73
0.02	0.74
0.03	0.75
0.03	0.71
0.03	0.75
0.02	0.72
0.03	0.71
0.03	0.76
0.02	0.74
0.05	0.8
0.02	0.76
0.03	0.74
0.03	0.75
0.02	0.73
0.03	0.69
0.02	0.73
0.04	0.74
0.02	0.71
0.02	0.74
0.01	0.76
0.02	0.75
0.03	0.75
0.02	0.75
0.03	0.76
0.04	0.72
0.03	0.69
0.01	0.69
0.03	0.74
0.02	0.75
0.03	0.73
0.02	0.73
0.03	0.77
0.01	0.69
0.03	0.77
0.02	0.75
0.03	0.67
0.02	0.75
0.03	0.73
0.02	0.75
0.03	0.75
0.03	0.75
0.03	0.74
0.03	0.71
0.03	0.72
0.02	0.76
0.03	0.71
0.02	0.7
0.03	0.76
0.03	0.74
0.02	0.73
0.03	0.75
0.02	0.73
0.03	0.75
0.03	0.77
0.03	0.71
0.03	0.74
0.02	0.73
0.04	0.83
0.07	0.79
