0.03	0.63
0.02	0.6
0.03	0.61
0.03	0.62
0.03	0.69
0.03	0.76
0.02	0.72
0.03	0.72
0.02	0.81
0.02	0.72
0.03	0.69
0.02	0.72
0.03	0.77
0.02	0.74
0.03	0.73
0.02	0.76
0.01	0.72
0.04	0.7
0.03	0.68
0.03	0.71
0.03	0.73
0.02	0.71
0.02	0.76
0.03	0.78
0.03	0.72
0.03	0.76
0.03	0.78
0.02	0.77
0.03	0.72
0.04	0.76
0.02	0.77
0.05	0.81
0.02	0.69
0.03	0.7
0.02	0.73
0.03	0.76
0.03	0.77
0.02	0.78
0.02	0.71
0.02	0.77
0.02	0.76
0.03	0.76
0.02	0.75
0.06	0.77
0.02	0.73
0.02	0.77
0.02	0.76
0.03	0.75
0.02	0.74
0.02	0.72
0.03	0.73
0.02	0.74
0.03	0.77
0.02	0.76
0.02	0.73
0.02	0.73
0.03	0.74
0.03	0.74
0.03	0.72
0.02	0.74
0.03	0.77
0.03	0.74
0.02	0.71
0.03	0.77
0.03	0.73
0.02	0.73
0.03	0.72
0.02	0.74
0.02	0.76
0.03	0.78
0.02	0.72
0.04	0.72
0.03	0.73
0.04	0.77
0.03	0.77
0.03	0.7
0.02	0.73
0.03	0.77
0.03	0.71
0.03	0.72
0.04	0.77
0.03	0.76
0.03	0.76
0.03	0.74
0.03	0.67
0.03	0.7
0.03	0.76
0.03	0.73
0.02	0.74
0.03	0.76
0.02	0.77
0.03	0.74
0.03	0.72
0.03	0.77
0.02	0.8
0.03	0.72
0.01	0.74
0.02	0.77
0.02	0.76
0.02	0.73
0.03	0.74
0.02	0.7
0.03	0.77
0.02	0.74
0.04	0.73
0.02	0.73
0.03	0.74
0.03	0.73
0.03	0.74
0.02	0.73
0.02	0.7
0.02	0.7
0.02	0.75
0.03	0.71
0.02	0.75
0.04	0.72
0.02	0.78
0.02	0.76
0.04	0.7
0.02	0.72
0.03	0.7
0.02	0.75
0.04	0.75
0.03	0.78
0.03	0.73
0.03	0.78
0.03	0.71
0.03	0.76
0.02	0.75
0.03	0.71
0.03	0.77
0.03	0.76
0.03	0.76
0.02	0.77
0.02	0.76
0.02	0.76
0.03	0.77
0.03	0.76
0.02	0.75
0.03	0.73
0.03	0.73
0.02	0.77
0.03	0.75
0.03	0.71
0.03	0.72
0.02	0.74
0.01	0.74
0.03	0.69
0.03	0.73
0.03	0.74
0.03	0.77
0.04	0.76
0.03	0.62
