0.09	0.56
0	0.02
0	0.03
0.01	0.04
0.01	0.04
0	0.03
0.03	0.06
0	0.03
0.01	0.03
0	0.03
0	0.03
0.01	0.03
0.01	0.03
0	0.03
0.01	0.02
0	0.04
0	0.03
0.01	0.03
0	0.04
0	0.03
0.01	0.04
0.01	0.03
0	0.03
0	0.02
0.01	0.03
0.01	0.04
0	0.03
0.01	0.04
0	0.02
0.01	0.03
0	0.03
0.01	0.02
0	0.02
0.01	0.04
0	0.03
0.01	0.04
0	0.03
0	0.03
0.01	0.03
0	0.04
0	0.04
0.01	0.02
0	0.03
0.01	0.03
0	0.02
0.01	0.04
0	0.02
0.01	0.04
0.01	0.03
0	0.03
0	0.03
0	0.02
0.01	0.03
0	0.03
0.01	0.03
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.02
0	0.04
0	0.03
0.01	0.03
0	0.03
0	0.02
0	0.04
0.01	0.03
0	0.03
0.01	0.03
0	0.03
0.01	0.03
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0	0.03
0.01	0.02
0	0.03
0	0.03
0.01	0.04
0	0.02
0	0.04
0	0.03
0.01	0.04
0	0.04
0.01	0.03
0	0.04
0.01	0.02
0	0.03
0	0.03
0.01	0.03
0	0.04
0	0.03
0.01	0.03
0	0.03
0.01	0.03
0	0.02
0.01	0.04
0	0.03
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.02
0.01	0.04
0	0.03
0	0.04
0.01	0.02
0	0.04
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0	0.03
0.01	0.03
0	0.03
0	0.04
0.01	0.04
0	0.03
0.01	0.03
0	0.03
0.01	0.03
0.01	0.03
0	0.03
0	0.03
0.03	0.07
0	0.04
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0.01	0.04
0	0.03
0.01	0.03
0.01	0.04
0	0.05
0	0.02
0.05	0.08
0	0.03
0.01	0.02
0	0.04
0.01	0.02
0	0.03
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0.01	0.04
0	0.04
0	0.03
0.01	0.04
0	0.03
0.01	0.02
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.02
0.01	0.03
0	0.04
0.01	0.04
0	0.03
0	0.03
0.01	0.04
0	0.02
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0	0.03
0	0.03
0.01	0.04
0	0.03
0.01	0.03
0	0.03
0.01	0.03
0	0.05
0	0.04
0.01	0.03
0	0.04
0	0.03
0.01	0.05
0	0.03
0.05	0.08
0	0.03
0.01	0.04
0	0.03
0.01	0.04
0	0.03
0	0.04
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0	0.03
0.01	0.04
0	0.02
0.01	0.04
0	0.04
0	0.04
0.01	0.04
0	0.03
0	0.04
0.01	0.04
0	0.03
0.01	0.05
0	0.03
0	0.04
0.01	0.03
0	0.05
0.01	0.03
0.01	0.04
0	0.04
0	0.03
0.01	0.04
0.01	0.03
0	0.04
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0	0.04
0	0.03
0.01	0.03
0	0.04
0.01	0.02
0	0.04
0	0.04
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.03
0	0.04
0	0.04
0.01	0.03
0	0.04
0.01	0.04
0.03	0.07
0	0.04
0.01	0.04
0	0.03
0.01	0.04
0	0.04
0.01	0.03
0	0.04
0.01	0.03
0	0.04
0	0.04
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0	0.03
0.01	0.03
0	0.04
0.01	0.04
0	0.02
0.01	0.04
0	0.04
0.01	0.03
0	0.04
0	0.03
0.01	0.04
0	0.03
0.01	0.03
0	0.05
0	0.04
0.01	0.03
0	0.04
0	0.03
0	0.03
0.01	0.03
0	0.04
0	0.03
0.01	0.03
0	0.04
0	0.03
0	0.04
0.01	0.03
0.01	0.03
0	0.04
