0.01	0.33
0.01	0.39
0	0.38
0.01	0.37
0.01	0.38
0.04	0.48
0	0.45
0.01	0.44
0.01	0.47
0.01	0.45
0.01	0.46
0.01	0.45
0	0.47
0.01	0.46
0.01	0.46
0.02	0.48
0	0.46
0.02	0.45
0	0.47
0.02	0.45
0	0.47
0.01	0.47
0.01	0.46
0.01	0.44
0.01	0.46
0.01	0.44
0.01	0.45
0.01	0.45
0	0.46
0.02	0.47
0	0.46
0.01	0.45
0.01	0.46
0.02	0.44
0.01	0.43
0	0.45
0.01	0.46
0.01	0.47
0.02	0.47
0.01	0.46
0	0.46
0.02	0.45
0.01	0.47
0.01	0.46
0.01	0.47
0.01	0.44
0.01	0.47
0	0.46
0.01	0.47
0.01	0.48
0	0.47
0.02	0.46
0	0.46
0.01	0.48
0.01	0.43
0.01	0.45
0	0.45
0.01	0.48
0.01	0.46
0.01	0.47
0.01	0.47
0.02	0.46
0.01	0.47
0.01	0.48
0.01	0.47
0.01	0.48
0	0.47
0.01	0.47
0.01	0.47
0.01	0.45
0	0.49
0.01	0.47
0.01	0.46
0.01	0.47
0	0.49
0.01	0.46
0.01	0.49
0.01	0.46
0.01	0.49
0.01	0.48
0	0.45
0.01	0.45
0.01	0.47
0.01	0.47
0.01	0.45
0.01	0.45
0	0.48
0.01	0.47
0.01	0.46
0.01	0.47
0.01	0.48
0.01	0.47
0	0.34
