0.01	0.14
0	0.03
0	0.03
0.09	0.96
0.01	0.32
0.01	0.24
0.01	0.21
0.01	0.17
0.01	0.14
0	0.12
0.02	0.2
0.02	0.43
0.03	0.43
0.02	0.47
0.03	0.52
0.14	0.51
0.02	0.5
0.03	0.49
0.03	0.42
0.02	0.52
0.03	0.56
0.03	0.58
0.05	0.58
0.03	0.57
0.04	0.68
0.03	0.54
0.03	0.61
0.03	0.5
0.03	0.51
0.04	0.57
0.03	0.57
0.03	0.44
0.03	0.6
0.03	0.54
0.05	0.69
0.02	0.54
0.02	0.53
0.04	0.55
0.04	0.61
0.03	0.55
0.02	0.55
0.04	0.64
0.02	0.5
0.05	0.72
0.04	0.63
0.04	0.59
0.02	0.48
0.03	0.48
0.12	0.55
0.04	0.56
0.02	0.51
0.04	0.75
0.03	0.47
0.04	0.54
0.14	0.57
0.02	0.54
0.25	0.56
0.04	0.64
0.03	0.52
0.06	0.61
0.03	0.48
0.02	0.63
0.03	0.48
0.03	0.54
0.02	0.5
0.05	0.67
0.03	0.59
0.03	0.58
0.04	0.56
0.03	0.66
0.04	0.59
0.03	0.46
0.11	0.46
0.04	0.58
0.03	0.65
0.04	0.52
0.04	0.63
0.04	0.68
0.02	0.47
0.03	0.41
0.03	0.59
0.09	0.69
0.04	0.53
0.03	0.56
0.02	0.57
0.04	0.65
0.04	0.62
0.03	0.42
0.03	0.5
0.04	0.62
0.04	0.58
0.03	0.52
0.04	0.55
0.04	0.64
0.03	0.47
0.03	0.54
0.03	0.58
0.04	0.59
0.03	0.59
0.03	0.57
0.04	0.54
0.04	0.68
0.24	0.47
0.02	0.52
0.04	0.64
0.03	0.58
0.01	0.51
0.04	0.48
0.05	0.6
0.02	0.52
0.03	0.58
0.03	0.62
0.03	0.45
0.04	0.57
0.03	0.52
0.02	0.52
0.04	0.56
0.04	0.65
0.04	0.55
0.04	0.63
0.03	0.48
0.02	0.51
0.05	0.78
0.03	0.56
0.04	0.55
0.04	0.54
0.04	0.6
0.02	0.48
0.05	0.68
0.02	0.49
0.04	0.61
0.03	0.38
0.2	0.72
0.03	0.58
0.04	0.45
0.04	0.62
0.04	0.53
0.04	0.55
0.03	0.47
0.03	0.57
0.03	0.51
0.03	0.52
0.03	0.6
0.05	0.6
0.04	0.6
0.03	0.58
0.03	0.51
0.04	0.59
0.03	0.49
0.05	0.6
0.03	0.58
0.04	0.56
0.03	0.56
0.01	0.57
0.04	0.56
0.08	0.51
0.02	0.51
0.04	0.7
0.03	0.53
0.03	0.58
0.03	0.51
0.03	0.58
0.03	0.58
0.03	0.58
0.01	0.43
0.04	0.57
0.04	0.52
0.03	0.58
0.04	0.65
0.04	0.51
0.04	0.53
0.13	0.58
0.03	0.42
0.05	0.72
0.06	0.54
0.03	0.52
0.03	0.52
0.12	0.46
0.05	0.57
0.01	0.44
0.05	0.65
0.02	0.42
0.03	0.59
0.03	0.56
0.03	0.48
0.03	0.44
0.06	0.7
0.02	0.4
0.03	0.62
0.11	0.56
0.03	0.59
0.03	0.61
0.03	0.61
0.04	0.63
0.02	0.57
0.03	0.58
0.04	0.51
0.24	0.72
0.04	0.6
0.05	0.54
0.02	0.49
0.05	0.54
0.02	0.54
0.04	0.54
0.04	0.56
0.03	0.5
0.03	0.61
0.04	0.53
0.04	0.61
0.03	0.49
0.04	0.58
0.02	0.46
0.05	0.53
0.03	0.66
0.04	0.55
0.08	0.61
0.02	0.52
0.05	0.64
0.02	0.57
0.05	0.61
0.03	0.48
0.04	0.75
0.04	0.72
0.04	0.63
0.02	0.59
0.02	0.5
0.02	0.37
0.03	0.45
0.04	0.52
0.02	0.57
0.03	0.4
0.03	0.63
0.03	0.59
0.04	0.6
0.04	0.56
0.03	0.52
0.02	0.41
0.1	0.78
0.02	0.54
0.03	0.52
0.03	0.53
0.03	0.45
0.03	0.49
0.04	0.51
0.03	0.52
0.03	0.41
0.05	0.63
0.04	0.58
0.02	0.62
0.04	0.63
0.02	0.53
0.03	0.61
0.03	0.56
0.03	0.53
0.1	0.58
0.1	0.52
0.03	0.53
0.04	0.72
0.03	0.62
0.04	0.6
0.03	0.59
0.03	0.45
0.02	0.45
0.04	0.59
0.03	0.53
0.03	0.53
0.05	0.69
0.04	0.59
0.18	0.57
0.04	0.48
0.03	0.53
0.27	0.52
0.04	0.57
0.03	0.51
0.04	0.55
0.02	0.48
0.03	0.53
0.04	0.64
0.03	0.62
0.03	0.49
0.04	0.62
0.04	0.58
0.03	0.64
0.03	0.49
0.03	0.46
0.03	0.48
0.04	0.49
0.1	0.6
0.04	0.61
0.04	0.55
0.03	0.57
0.07	0.65
0.03	0.54
0.03	0.55
0.03	0.51
0.03	0.57
