0.13	0.79
0	0.03
0.01	0.02
0	0.05
0.01	0.03
0	0.02
0	0.03
0.01	0.03
0	0.03
0	0.03
0	0.04
0.01	0.02
0.01	0.04
0	0.04
0	0.04
0.01	0.03
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0.01	0.03
0	0.03
0	0.03
0.01	0.04
0	0.03
0.01	0.03
0	0.04
0	0.03
0	0.03
0.01	0.04
0	0.03
0.01	0.03
0	0.03
0	0.02
0.01	0.03
0	0.02
0	0.04
0.01	0.02
0	0.03
0.01	0.03
0	0.04
0	0.03
0.01	0.04
0	0.02
0.01	0.04
0	0.03
0	0.04
0.01	0.03
0	0.04
0	0.04
0.01	0.03
0	0.02
0.01	0.04
0	0.03
0.01	0.04
0	0.02
0	0.03
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.04
0	0.04
0.01	0.02
0	0.04
0.01	0.02
0	0.03
0.01	0.04
0.03	0.06
0	0.03
0	0.05
0.01	0.02
0	0.03
0	0.03
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0	0.03
0.01	0.03
0	0.04
0.01	0.03
0	0.02
0	0.03
0.01	0.03
0	0.04
0.01	0.03
0	0.04
0.04	0.08
0	0.02
0.01	0.05
0.01	0.04
0	0.02
0.01	0.04
0	0.02
0.01	0.04
0	0.03
0	0.04
0.01	0.04
0	0.03
0	0.04
0	0.03
0.01	0.05
0	0.03
0.01	0.03
0	0.03
0	0.03
0.01	0.03
0	0.03
0	0.03
0	0.04
0.01	0.03
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.04
0	0.03
0.01	0.03
0	0.03
0.01	0.04
0	0.03
0	0.04
0.01	0.03
0	0.04
0.01	0.03
0	0.05
0	0.02
0.01	0.02
0	0.04
0	0.04
0.01	0.03
0.01	0.02
0	0.03
0.01	0.03
0	0.04
0	0.03
0	0.04
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0.01	0.03
0	0.04
0.01	0.02
0	0.04
0	0.03
0	0.03
0.01	0.04
0	0.04
0.01	0.03
0	0.02
0	0.03
0.01	0.03
0	0.03
0.01	0.03
0	0.02
0	0.03
0.01	0.03
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.03
0	0.03
0.01	0.04
0	0.03
0	0.03
0.01	0.04
0	0.03
0	0.04
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.04
0.01	0.04
0	0.03
0.01	0.04
0	0.03
0.01	0.03
0	0.03
0.01	0.03
0	0.04
0.01	0.03
0.02	0.06
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0	0.04
0.01	0.04
0	0.03
0	0.04
0.01	0.03
0	0.03
0.01	0.03
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0.01	0.03
0	0.03
0	0.03
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0	0.03
0.01	0.03
0	0.04
0	0.04
0.01	0.03
0	0.03
0.01	0.03
0	0.03
0	0.03
0.01	0.04
0	0.02
0.01	0.03
0	0.04
0.01	0.03
0	0.04
0	0.03
0.01	0.03
0	0.02
0	0.04
0.01	0.03
0	0.04
0.01	0.03
0	0.04
0.01	0.04
0	0.03
0.01	0.04
0	0.03
0	0.04
0.01	0.04
0	0.04
0	0.03
0.01	0.04
0	0.03
0	0.03
0	0.04
0	0.03
0.01	0.03
0.01	0.04
0	0.03
0	0.03
0.01	0.04
0	0.03
0	0.05
0.01	0.04
0	0.03
0.01	0.04
0	0.04
0.01	0.03
0	0.03
0.01	0.03
0	0.04
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0.01	0.03
0	0.03
0	0.03
0.01	0.03
0	0.04
0	0.03
0.01	0.04
0	0.04
0.01	0.02
0	0.04
0	0.04
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0.01	0.03
0	0.03
0	0.04
0.01	0.03
0	0.03
0	0.02
0	0.04
