0.01	0.71
0.01	0.06
0	0.06
0.01	0.05
0	0.05
0.01	0.05
0	0.05
0.01	0.05
0	0.04
0	0.06
0.01	0.05
0	0.05
0.01	0.05
0	0.04
0.01	0.05
0	0.04
0.01	0.04
0	0.05
0	0.05
0.01	0.04
0	0.04
0	0.06
0	0.04
0.01	0.04
0	0.05
0.01	0.05
0	0.06
0.01	0.04
0	0.05
0.01	0.08
0	0.04
0.01	0.05
0	0.04
0.01	0.05
0	0.04
0.01	0.06
0	0.05
0	0.06
0.01	0.04
0	0.05
0.01	0.06
0.01	0.05
0	0.06
0.01	0.04
0.01	0.05
0	0.05
0.01	0.05
0	0.05
0.01	0.04
0	0.06
0.01	0.06
0	0.07
0.01	0.05
0	0.05
0.01	0.05
0	0.07
0.01	0.04
0.03	0.08
0	0.05
0.01	0.05
0	0.07
0.01	0.04
0	0.06
0.01	0.05
0	0.07
0.01	0.06
0	0.06
0	0.07
0.01	0.04
0	0.05
0.01	0.05
0	0.06
0.01	0.05
0.01	0.06
0	0.07
0	0.06
0.01	0.05
0.01	0.05
0	0.05
0	0.07
0.01	0.04
0	0.05
0.01	0.05
0	0.05
0	0.05
0	0.07
0.01	0.06
0	0.05
0.01	0.05
0.01	0.04
0	0.05
0	0.06
0.01	0.06
0	0.05
0	0.04
0	0.05
0.01	0.06
0	0.05
0.01	0.06
0	0.05
0.01	0.04
0	0.05
0.01	0.06
0	0.06
0.01	0.05
0	0.05
0.01	0.05
0	0.06
0.01	0.06
0	0.06
0.01	0.06
0	0.05
0.01	0.07
0	0.04
0	0.05
0.01	0.05
0.01	0.06
0	0.04
0.01	0.06
0	0.05
0	0.07
0.01	0.07
0	0.06
0.01	0.06
0	0.05
0.01	0.08
0	0.06
0.01	0.06
0	0.06
0.01	0.06
0	0.06
0.01	0.04
0	0.07
0.01	0.06
0	0.07
0	0.07
0.01	0.05
0	0.06
0.01	0.05
0	0.06
0.01	0.07
0	0.05
0.01	0.05
0	0.04
0	0.07
0.01	0.07
0	0.07
0.01	0.05
0	0.07
0	0.07
0.01	0.07
0	0.05
0.01	0.05
0	0.07
0.01	0.05
0	0.05
0.04	0.11
0	0.08
0.01	0.08
0.01	0.07
0.01	0.05
0	0.08
0.01	0.04
0	0.07
0.01	0.06
0	0.06
0	0.07
0.01	0.07
0.01	0.07
0	0.06
0.01	0.07
0	0.08
0	0.06
0.01	0.07
0	0.06
0	0.07
0.01	0.06
0.03	0.1
0	0.06
0.01	0.06
0	0.07
0.01	0.06
0	0.07
0.01	0.07
0	0.06
0.01	0.07
0.01	0.06
0	0.07
0	0.06
0.01	0.07
0.01	0.06
0	0.07
0	0.08
0.01	0.08
0	0.07
0	0.06
0.01	0.07
0	0.07
0.01	0.08
0	0.06
0	0.06
0	0.06
0.01	0.06
0.01	0.06
0	0.06
0.01	0.07
0	0.08
0	0.05
0.01	0.07
0.01	0.07
0	0.06
0	0.06
0.01	0.05
0	0.07
0	0.08
0.01	0.06
0	0.07
0.01	0.06
0	0.05
0.01	0.06
0	0.07
0.01	0.06
0	0.05
0.01	0.05
0	0.05
0.01	0.06
0	0.05
0.01	0.08
0	0.07
0.01	0.07
0	0.06
0	0.07
0.01	0.05
0	0.05
0	0.06
0.01	0.06
0	0.07
0	0.06
0.01	0.05
0	0.07
0.01	0.06
0	0.07
0	0.05
0.01	0.05
0.01	0.06
0	0.06
0	0.07
0.01	0.05
0	0.06
0	0.06
0.01	0.06
0	0.06
0.01	0.06
0	0.05
0	0.05
0	0.06
0.02	0.07
0	0.06
0.01	0.05
0	0.05
0	0.05
0	0.06
0.01	0.07
0	0.04
0.01	0.05
0.01	0.07
0	0.06
0.01	0.07
0	0.05
0.01	0.07
0	0.06
0.01	0.05
0	0.05
0.01	0.05
0	0.06
0	0.05
