0.56	3.74
0.18	1.23
0.08	0.48
0.05	0.38
0.05	0.36
0.05	0.41
0.04	0.44
0.07	0.44
0.07	0.47
0.06	0.45
0.07	0.49
0.06	0.5
0.07	0.53
0.06	0.44
0.07	0.6
0.08	0.52
0.06	0.52
0.06	0.53
0.07	0.52
0.07	0.53
0.07	0.51
0.06	0.53
0.07	0.51
0.07	0.53
0.07	0.52
0.07	0.54
0.07	0.53
0.07	0.52
0.07	0.53
0.08	0.53
0.07	0.54
0.07	0.53
0.08	0.51
0.08	0.52
0.08	0.51
0.07	0.54
0.08	0.52
0.05	0.47
0.09	0.59
0.09	0.57
0.07	0.55
0.08	0.54
0.09	0.54
0.08	0.53
0.07	0.52
0.06	0.54
0.06	0.54
0.09	0.49
0.07	0.55
0.09	0.53
0.07	0.55
0.08	0.57
0.07	0.53
0.07	0.53
0.07	0.57
0.08	0.52
0.07	0.54
0.08	0.51
0.07	0.53
0.08	0.52
0.07	0.55
0.06	0.47
0.09	0.6
0.12	0.62
0.07	0.57
0.07	0.55
0.07	0.53
0.07	0.53
0.08	0.53
0.08	0.52
0.07	0.56
0.07	0.53
0.08	0.55
0.08	0.56
0.09	0.57
0.06	0.57
0.09	0.53
0.06	0.54
0.08	0.54
0.08	0.51
0.07	0.54
0.07	0.54
0.06	0.54
0.09	0.49
0.07	0.52
0.06	0.52
0.07	0.5
0.08	0.64
0.07	0.56
0.08	0.52
0.09	0.53
0.07	0.54
0.08	0.57
0.07	0.52
0.08	0.52
0.08	0.54
0.07	0.51
0.09	0.54
0.08	0.57
0.08	0.54
0.06	0.55
0.07	0.55
0.08	0.54
0.07	0.55
0.05	0.52
0.08	0.54
0.07	0.54
0.07	0.53
0.06	0.45
0.07	0.61
0.07	0.52
0.09	0.58
0.06	0.57
0.06	0.53
0.09	0.53
0.08	0.5
0.07	0.51
0.08	0.51
0.08	0.52
0.07	0.54
0.08	0.52
0.07	0.54
0.06	0.57
0.09	0.58
0.06	0.55
0.09	0.54
0.07	0.55
0.06	0.53
0.07	0.54
0.07	0.55
0.09	0.5
0.06	0.51
0.08	0.53
0.06	0.59
0.07	0.5
0.08	0.61
0.09	0.58
0.09	0.54
0.07	0.56
0.05	0.55
0.07	0.54
0.07	0.52
0.07	0.53
0.09	0.5
0.07	0.54
0.06	0.55
0.08	0.56
0.09	0.53
0.09	0.53
0.08	0.53
0.08	0.54
0.07	0.56
0.08	0.51
0.08	0.52
0.08	0.54
0.07	0.53
0.08	0.52
0.08	0.54
0.07	0.49
0.07	0.57
0.08	0.55
0.08	0.54
0.07	0.55
0.08	0.52
0.08	0.5
0.07	0.52
0.07	0.52
0.07	0.54
0.08	0.52
0.08	0.6
0.08	0.56
0.09	0.53
0.08	0.54
0.07	0.56
0.09	0.55
0.08	0.54
0.08	0.54
0.08	0.51
0.06	0.53
0.06	0.52
0.08	0.52
0.09	0.57
0.09	0.57
0.1	0.6
0.09	0.57
0.07	0.54
0.07	0.55
0.07	0.53
0.08	0.5
0.07	0.54
0.06	0.54
0.08	0.53
0.06	0.56
0.07	0.59
0.08	0.57
0.07	0.57
0.08	0.55
0.06	0.55
0.07	0.56
0.08	0.54
0.06	0.54
0.08	0.51
0.08	0.53
0.07	0.52
0.1	0.5
0.07	0.53
0.08	0.63
0.08	0.56
0.08	0.56
0.07	0.55
0.1	0.55
0.06	0.56
0.09	0.53
0.05	0.55
0.08	0.53
0.08	0.53
0.06	0.55
0.07	0.56
0.08	0.57
0.08	0.63
0.08	0.57
0.1	0.61
0.08	0.56
0.08	0.53
0.07	0.52
0.06	0.53
0.08	0.58
0.08	0.56
0.06	0.54
0.07	0.57
0.1	0.56
0.08	0.58
0.07	0.56
0.07	0.53
0.08	0.56
0.06	0.54
0.07	0.52
0.06	0.56
0.07	0.55
0.08	0.55
0.07	0.55
0.08	0.55
0.07	0.57
0.07	0.57
0.09	0.58
0.06	0.56
0.07	0.56
0.07	0.55
0.07	0.49
0.08	0.57
0.07	0.56
0.07	0.57
0.07	0.54
0.07	0.56
0.07	0.58
0.08	0.59
0.08	0.54
0.07	0.57
0.08	0.54
0.09	0.57
0.07	0.57
0.09	0.56
0.06	0.56
0.07	0.57
0.07	0.55
0.07	0.56
0.08	0.58
0.09	0.54
0.09	0.59
0.07	0.51
0.08	0.6
0.07	0.55
0.07	0.55
0.08	0.55
0.07	0.59
0.07	0.57
0.08	0.56
0.08	0.56
0.08	0.51
