0	0.05
0.01	0.05
0.01	0.05
0.01	0.05
0.01	0.05
0.01	0.04
0.01	0.05
0	0.05
0.01	0.04
0	0.06
0.01	0.05
0.02	0.05
0.01	0.05
0	0.04
0.01	0.05
0	0.04
0.01	0.05
0	0.05
0.02	0.05
0.01	0.03
0	0.06
0.01	0.03
0	0.04
0.01	0.03
0.01	0.04
0	0.03
0.01	0.03
0.01	0.04
0	0.03
0.01	0.03
0.01	0.03
0	0.03
0.01	0.03
0	0.03
0.01	0.02
0.01	0.04
0.01	0.02
0	0.03
0.01	0.03
0	0.04
0.02	0.03
0.01	0.03
0.01	0.04
0.01	0.03
0	0.04
0.01	0.04
0.01	0.03
0.01	0.04
0	0.04
0.01	0.04
0.01	0.04
0.01	0.04
0	0.04
0.01	0.03
0.01	0.04
0.01	0.05
0	0.04
0.01	0.05
0	0.04
0.01	0.04
0.01	0.03
0	0.04
0.01	0.03
0.01	0.03
0.01	0.03
0	0.05
0.01	0.04
0.01	0.04
0	0.05
0.01	0.04
0.02	0.03
0.01	0.03
0.01	0.04
0	0.06
0.01	0.03
0.01	0.04
0.01	0.04
0.01	0.04
0.01	0.04
0	0.05
0.01	0.05
0.01	0.04
0	0.04
0.01	0.04
0.01	0.04
0.01	0.03
0.01	0.05
0.01	0.05
0.01	0.05
0	0.04
0.01	0.03
0.01	0.03
0.01	0.04
0.01	0.04
0	0.03
0.01	0.04
0.01	0.04
0	0.04
0.01	0.04
0.01	0.04
0.01	0.04
0.01	0.04
0.01	0.05
0.01	0.04
0	0.04
0.01	0.03
0.01	0.04
0	0.04
0.01	0.04
0.01	0.04
0.01	0.05
0	0.03
0.01	0.04
0.01	0.03
0.01	0.04
0	0.05
0.01	0.03
0	0.04
0.01	0.04
0	0.05
0.01	0.04
0	0.04
0.02	0.03
0	0.04
0.01	0.05
0	0.05
0.01	0.03
0.01	0.05
0	0.04
0.01	0.03
0.01	0.05
0.01	0.03
0	0.04
0.01	0.04
0.01	0.05
0.01	0.04
0	0.05
0.01	0.03
0.01	0.05
0	0.04
0.01	0.04
0.01	0.04
0	0.02
0.01	0.05
0.01	0.04
0.01	0.04
0.01	0.03
0	0.04
0.01	0.03
0.01	0.05
0.01	0.04
0.01	0.05
0	0.04
0.01	0.04
0.02	0.04
0	0.03
0.01	0.05
0.02	0.03
0	0.04
0.01	0.04
0.01	0.04
0	0.03
0.01	0.05
0.01	0.04
0	0.04
0.01	0.04
0.01	0.03
0.01	0.03
0.01	0.03
0	0.05
0.01	0.03
0.01	0.04
0.01	0.04
0	0.06
0.01	0.04
0.01	0.04
0	0.05
0.01	0.04
0.01	0.05
0	0.03
0.01	0.04
0.01	0.04
0	0.03
0.01	0.04
0.02	0.04
0.01	0.04
0	0.04
0.01	0.04
0.01	0.03
0.01	0.04
0.01	0.04
0	0.04
0.01	0.03
0.01	0.04
0.01	0.04
0.01	0.04
0.01	0.04
0	0.04
0.01	0.03
0	0.03
0.01	0.04
0.01	0.04
0	0.03
0.01	0.04
0	0.04
0.01	0.03
0.01	0.04
0.01	0.04
0.01	0.04
0.01	0.03
0.01	0.05
0.01	0.03
0	0.05
0.01	0.05
0.01	0.03
